#,Name,Reaction,Rate Law
445,Ca dissociating from CamR_Ca3_ABC_CaMKIIp site B,CamR_Ca3_ABC_CaMKIIp -> CamR_Ca2_AC_CaMKIIp + Ca,Mass action (irreversible)
446,Ca dissociating from CamR_Ca3_ABC_CaMKIIp site A,CamR_Ca3_ABC_CaMKIIp -> CamR_Ca2_BC_CaMKIIp + Ca,Mass action (irreversible)
447,Ca dissociating from CamR_Ca3_ABD_CaMKIIp site D,CamR_Ca3_ABD_CaMKIIp -> CamR_Ca2_AB_CaMKIIp + Ca,Mass action (irreversible)
448,Ca dissociating from CamR_Ca3_ABD_CaMKIIp site B,CamR_Ca3_ABD_CaMKIIp -> CamR_Ca2_AD_CaMKIIp + Ca,Mass action (irreversible)
449,Ca dissociating from CamR_Ca3_ABD_CaMKIIp site A,CamR_Ca3_ABD_CaMKIIp -> CamR_Ca2_BD_CaMKIIp + Ca,Mass action (irreversible)
450,Ca dissociating from CamR_Ca3_ACD_CaMKIIp site D,CamR_Ca3_ACD_CaMKIIp -> CamR_Ca2_AC_CaMKIIp + Ca,Mass action (irreversible)
451,Ca dissociating from CamR_Ca3_ACD_CaMKIIp site C,CamR_Ca3_ACD_CaMKIIp -> CamR_Ca2_AD_CaMKIIp + Ca,Mass action (irreversible)
452,Ca dissociating from CamR_Ca3_ACD_CaMKIIp site A,CamR_Ca3_ACD_CaMKIIp -> CamR_Ca2_CD_CaMKIIp + Ca,Mass action (irreversible)
453,Ca dissociating from CamR_Ca3_BCD_CaMKIIp site D,CamR_Ca3_BCD_CaMKIIp -> CamR_Ca2_BC_CaMKIIp + Ca,Mass action (irreversible)
454,Ca dissociating from CamR_Ca3_BCD_CaMKIIp site C,CamR_Ca3_BCD_CaMKIIp -> CamR_Ca2_BD_CaMKIIp + Ca,Mass action (irreversible)
455,Ca dissociating from CamR_Ca3_BCD_CaMKIIp site B,CamR_Ca3_BCD_CaMKIIp -> CamR_Ca2_CD_CaMKIIp + Ca,Mass action (irreversible)
456,Ca binding to CamR_Ca3_BCD_CaMKIIp site A,CamR_Ca3_BCD_CaMKIIp + Ca -> CamR_Ca4_ABCD_CaMKIIp,Mass action (irreversible)
457,Ca binding to CamR_Ca3_ACD_CaMKIIp site B,CamR_Ca3_ACD_CaMKIIp + Ca -> CamR_Ca4_ABCD_CaMKIIp,Mass action (irreversible)
458,Ca binding to CamR_Ca3_ABD_CaMKIIp site C,CamR_Ca3_ABD_CaMKIIp + Ca -> CamR_Ca4_ABCD_CaMKIIp,Mass action (irreversible)
459,Ca binding to CamR_Ca3_ABC_CaMKIIp site D,CamR_Ca3_ABC_CaMKIIp + Ca -> CamR_Ca4_ABCD_CaMKIIp,Mass action (irreversible)
460,Ca dissociating from CamR_Ca4_ABCD_CaMKIIp site A,CamR_Ca4_ABCD_CaMKIIp -> CamR_Ca3_BCD_CaMKIIp + Ca,Mass action (irreversible)
461,Ca dissociating from CamR_Ca4_ABCD_CaMKIIp site B,CamR_Ca4_ABCD_CaMKIIp -> CamR_Ca3_ACD_CaMKIIp + Ca,Mass action (irreversible)
462,Ca dissociating from CamR_Ca4_ABCD_CaMKIIp site C,CamR_Ca4_ABCD_CaMKIIp -> CamR_Ca3_ABD_CaMKIIp + Ca,Mass action (irreversible)
463,Ca dissociating from CamR_Ca4_ABCD_CaMKIIp site D,CamR_Ca4_ABCD_CaMKIIp -> CamR_Ca3_ABC_CaMKIIp + Ca,Mass action (irreversible)
464,D binding to PKA,D + PKA -> D_PKA,Mass action (irreversible)
465,D dissociating from D_PKA,D_PKA -> D + PKA,Mass action (irreversible)
466,Dp dissociating from D_PKA,D_PKA -> Dp + PKA,Mass action (irreversible)
467,Dp binding to CamR_PP2B,Dp + CamR_PP2B -> Dp_CamR_PP2B,Mass action (irreversible)
468,Dp dissociating from Dp_CamR_PP2B,Dp_CamR_PP2B -> Dp + CamR_PP2B,Mass action (irreversible)
469,D dissociating from Dp_CamR_PP2B,Dp_CamR_PP2B -> D + CamR_PP2B,Mass action (irreversible)
470,Dp binding to CamR_Ca1_A_PP2B,Dp + CamR_Ca1_A_PP2B -> Dp_CamR_Ca1_A_PP2B,Mass action (irreversible)
471,Dp dissociating from Dp_CamR_Ca1_A_PP2B,Dp_CamR_Ca1_A_PP2B -> Dp + CamR_Ca1_A_PP2B,Mass action (irreversible)
472,D dissociating from Dp_CamR_Ca1_A_PP2B,Dp_CamR_Ca1_A_PP2B -> D + CamR_Ca1_A_PP2B,Mass action (irreversible)
473,Dp binding to CamR_Ca1_B_PP2B,Dp + CamR_Ca1_B_PP2B -> Dp_CamR_Ca1_B_PP2B,Mass action (irreversible)
474,Dp dissociating from Dp_CamR_Ca1_B_PP2B,Dp_CamR_Ca1_B_PP2B -> Dp + CamR_Ca1_B_PP2B,Mass action (irreversible)
475,D dissociating from Dp_CamR_Ca1_B_PP2B,Dp_CamR_Ca1_B_PP2B -> D + CamR_Ca1_B_PP2B,Mass action (irreversible)
476,Dp binding to CamR_Ca1_C_PP2B,Dp + CamR_Ca1_C_PP2B -> Dp_CamR_Ca1_C_PP2B,Mass action (irreversible)
477,Dp dissociating from Dp_CamR_Ca1_C_PP2B,Dp_CamR_Ca1_C_PP2B -> Dp + CamR_Ca1_C_PP2B,Mass action (irreversible)
478,D dissociating from Dp_CamR_Ca1_C_PP2B,Dp_CamR_Ca1_C_PP2B -> D + CamR_Ca1_C_PP2B,Mass action (irreversible)
479,Dp binding to CamR_Ca1_D_PP2B,Dp + CamR_Ca1_D_PP2B -> Dp_CamR_Ca1_D_PP2B,Mass action (irreversible)
480,Dp dissociating from Dp_CamR_Ca1_D_PP2B,Dp_CamR_Ca1_D_PP2B -> Dp + CamR_Ca1_D_PP2B,Mass action (irreversible)
481,D dissociating from Dp_CamR_Ca1_D_PP2B,Dp_CamR_Ca1_D_PP2B -> D + CamR_Ca1_D_PP2B,Mass action (irreversible)
482,Dp binding to CamR_Ca2_AB_PP2B,Dp + CamR_Ca2_AB_PP2B -> Dp_CamR_Ca2_AB_PP2B,Mass action (irreversible)
483,Dp dissociating from Dp_CamR_Ca2_AB_PP2B,Dp_CamR_Ca2_AB_PP2B -> Dp + CamR_Ca2_AB_PP2B,Mass action (irreversible)
484,D dissociating from Dp_CamR_Ca2_AB_PP2B,Dp_CamR_Ca2_AB_PP2B -> D + CamR_Ca2_AB_PP2B,Mass action (irreversible)
485,Dp binding to CamR_Ca2_AC_PP2B,Dp + CamR_Ca2_AC_PP2B -> Dp_CamR_Ca2_AC_PP2B,Mass action (irreversible)
486,Dp dissociating from Dp_CamR_Ca2_AC_PP2B,Dp_CamR_Ca2_AC_PP2B -> Dp + CamR_Ca2_AC_PP2B,Mass action (irreversible)
487,D dissociating from Dp_CamR_Ca2_AC_PP2B,Dp_CamR_Ca2_AC_PP2B -> D + CamR_Ca2_AC_PP2B,Mass action (irreversible)
488,Dp binding to CamR_Ca2_AD_PP2B,Dp + CamR_Ca2_AD_PP2B -> Dp_CamR_Ca2_AD_PP2B,Mass action (irreversible)
489,Dp dissociating from Dp_CamR_Ca2_AD_PP2B,Dp_CamR_Ca2_AD_PP2B -> Dp + CamR_Ca2_AD_PP2B,Mass action (irreversible)
490,D dissociating from Dp_CamR_Ca2_AD_PP2B,Dp_CamR_Ca2_AD_PP2B -> D + CamR_Ca2_AD_PP2B,Mass action (irreversible)
491,Dp binding to CamR_Ca2_BC_PP2B,Dp + CamR_Ca2_BC_PP2B -> Dp_CamR_Ca2_BC_PP2B,Mass action (irreversible)
492,Dp dissociating from Dp_CamR_Ca2_BC_PP2B,Dp_CamR_Ca2_BC_PP2B -> Dp + CamR_Ca2_BC_PP2B,Mass action (irreversible)
493,D dissociating from Dp_CamR_Ca2_BC_PP2B,Dp_CamR_Ca2_BC_PP2B -> D + CamR_Ca2_BC_PP2B,Mass action (irreversible)
494,Dp binding to CamR_Ca2_BD_PP2B,Dp + CamR_Ca2_BD_PP2B -> Dp_CamR_Ca2_BD_PP2B,Mass action (irreversible)
495,Dp dissociating from Dp_CamR_Ca2_BD_PP2B,Dp_CamR_Ca2_BD_PP2B -> Dp + CamR_Ca2_BD_PP2B,Mass action (irreversible)
496,D dissociating from Dp_CamR_Ca2_BD_PP2B,Dp_CamR_Ca2_BD_PP2B -> D + CamR_Ca2_BD_PP2B,Mass action (irreversible)
497,Dp binding to CamR_Ca2_CD_PP2B,Dp + CamR_Ca2_CD_PP2B -> Dp_CamR_Ca2_CD_PP2B,Mass action (irreversible)
498,Dp dissociating from Dp_CamR_Ca2_CD_PP2B,Dp_CamR_Ca2_CD_PP2B -> Dp + CamR_Ca2_CD_PP2B,Mass action (irreversible)
499,D dissociating from Dp_CamR_Ca2_CD_PP2B,Dp_CamR_Ca2_CD_PP2B -> D + CamR_Ca2_CD_PP2B,Mass action (irreversible)
500,Dp binding to CamR_Ca3_ABC_PP2B,Dp + CamR_Ca3_ABC_PP2B -> Dp_CamR_Ca3_ABC_PP2B,Mass action (irreversible)
501,Dp dissociating from Dp_CamR_Ca3_ABC_PP2B,Dp_CamR_Ca3_ABC_PP2B -> Dp + CamR_Ca3_ABC_PP2B,Mass action (irreversible)
502,D dissociating from Dp_CamR_Ca3_ABC_PP2B,Dp_CamR_Ca3_ABC_PP2B -> D + CamR_Ca3_ABC_PP2B,Mass action (irreversible)
503,Dp binding to CamR_Ca3_ABD_PP2B,Dp + CamR_Ca3_ABD_PP2B -> Dp_CamR_Ca3_ABD_PP2B,Mass action (irreversible)
504,Dp dissociating from Dp_CamR_Ca3_ABD_PP2B,Dp_CamR_Ca3_ABD_PP2B -> Dp + CamR_Ca3_ABD_PP2B,Mass action (irreversible)
505,D dissociating from Dp_CamR_Ca3_ABD_PP2B,Dp_CamR_Ca3_ABD_PP2B -> D + CamR_Ca3_ABD_PP2B,Mass action (irreversible)
506,Dp binding to CamR_Ca3_ACD_PP2B,Dp + CamR_Ca3_ACD_PP2B -> Dp_CamR_Ca3_ACD_PP2B,Mass action (irreversible)
507,Dp dissociating from Dp_CamR_Ca3_ACD_PP2B,Dp_CamR_Ca3_ACD_PP2B -> Dp + CamR_Ca3_ACD_PP2B,Mass action (irreversible)
508,D dissociating from Dp_CamR_Ca3_ACD_PP2B,Dp_CamR_Ca3_ACD_PP2B -> D + CamR_Ca3_ACD_PP2B,Mass action (irreversible)
509,Dp binding to CamR_Ca3_BCD_PP2B,Dp + CamR_Ca3_BCD_PP2B -> Dp_CamR_Ca3_BCD_PP2B,Mass action (irreversible)
510,Dp dissociating from Dp_CamR_Ca3_BCD_PP2B,Dp_CamR_Ca3_BCD_PP2B -> Dp + CamR_Ca3_BCD_PP2B,Mass action (irreversible)
511,D dissociating from Dp_CamR_Ca3_BCD_PP2B,Dp_CamR_Ca3_BCD_PP2B -> D + CamR_Ca3_BCD_PP2B,Mass action (irreversible)
512,Dp binding to CamR_Ca4_ABCD_PP2B,Dp + CamR_Ca4_ABCD_PP2B -> Dp_CamR_Ca4_ABCD_PP2B,Mass action (irreversible)
513,Dp dissociating from Dp_CamR_Ca4_ABCD_PP2B,Dp_CamR_Ca4_ABCD_PP2B -> Dp + CamR_Ca4_ABCD_PP2B,Mass action (irreversible)
514,D dissociating from Dp_CamR_Ca4_ABCD_PP2B,Dp_CamR_Ca4_ABCD_PP2B -> D + CamR_Ca4_ABCD_PP2B,Mass action (irreversible)
515,Dp binding to PP1a,PP1a + Dp -> PP1a_Dp,Mass action (irreversible)
516,Dp dissociating from PP1a,PP1a_Dp -> PP1a + Dp,Mass action (irreversible)
517,CaMKIIp binding to PP1a,CaMKIIp + PP1a -> CaMKIIp_PP1a,Mass action (irreversible)
518,CaMKIIp dissociating from CaMKIIp_PP1a,CaMKIIp_PP1a -> CaMKIIp + PP1a,Mass action (irreversible)
519,CaMKII dissociating from CaMKIIp_PP1a,CaMKIIp_PP1a -> CaMKII + PP1a,Mass action (irreversible)
520,CamR_CaMKIIp binding to PP1a,CamR_CaMKIIp + PP1a -> CamR_CaMKIIp_PP1a,Mass action (irreversible)
521,CamR_CaMKIIp dissociating from CamR_CaMKIIp_PP1a,CamR_CaMKIIp_PP1a -> CamR_CaMKIIp + PP1a,Mass action (irreversible)
522,CamR_CaMKII dissociating from CamR_CaMKIIp_PP1a,CamR_CaMKIIp_PP1a -> CamR_CaMKII + PP1a,Mass action (irreversible)
523,CamR_Ca1_A_CaMKIIp binding to PP1a,CamR_Ca1_A_CaMKIIp + PP1a -> CamR_Ca1_A_CaMKIIp_PP1a,Mass action (irreversible)
524,CamR_Ca1_A_CaMKIIp dissociating from CamR_Ca1_A_CaMKIIp_PP1a,CamR_Ca1_A_CaMKIIp_PP1a -> CamR_Ca1_A_CaMKIIp + PP1a,Mass action (irreversible)
525,CamR_Ca1_A_CaMKII dissociating from CamR_Ca1_A_CaMKIIp_PP1a,CamR_Ca1_A_CaMKIIp_PP1a -> CamR_Ca1_A_CaMKII + PP1a,Mass action (irreversible)
526,CamR_Ca1_B_CaMKIIp binding to PP1a,CamR_Ca1_B_CaMKIIp + PP1a -> CamR_Ca1_B_CaMKIIp_PP1a,Mass action (irreversible)
527,CamR_Ca1_B_CaMKIIp dissociating from CamR_Ca1_B_CaMKIIp_PP1a,CamR_Ca1_B_CaMKIIp_PP1a -> CamR_Ca1_B_CaMKIIp + PP1a,Mass action (irreversible)
528,CamR_Ca1_B_CaMKII dissociating from CamR_Ca1_B_CaMKIIp_PP1a,CamR_Ca1_B_CaMKIIp_PP1a -> CamR_Ca1_B_CaMKII + PP1a,Mass action (irreversible)
529,CamR_Ca1_C_CaMKIIp binding to PP1a,CamR_Ca1_C_CaMKIIp + PP1a -> CamR_Ca1_C_CaMKIIp_PP1a,Mass action (irreversible)
530,CamR_Ca1_C_CaMKIIp dissociating from CamR_Ca1_C_CaMKIIp_PP1a,CamR_Ca1_C_CaMKIIp_PP1a -> CamR_Ca1_C_CaMKIIp + PP1a,Mass action (irreversible)
531,CamR_Ca1_C_CaMKII dissociating from CamR_Ca1_C_CaMKIIp_PP1a,CamR_Ca1_C_CaMKIIp_PP1a -> CamR_Ca1_C_CaMKII + PP1a,Mass action (irreversible)
532,CamR_Ca1_D_CaMKIIp binding to PP1a,CamR_Ca1_D_CaMKIIp + PP1a -> CamR_Ca1_D_CaMKIIp_PP1a,Mass action (irreversible)
533,CamR_Ca1_D_CaMKIIp dissociating from CamR_Ca1_D_CaMKIIp_PP1a,CamR_Ca1_D_CaMKIIp_PP1a -> CamR_Ca1_D_CaMKIIp + PP1a,Mass action (irreversible)
534,CamR_Ca1_D_CaMKII dissociating from CamR_Ca1_D_CaMKIIp_PP1a,CamR_Ca1_D_CaMKIIp_PP1a -> CamR_Ca1_D_CaMKII + PP1a,Mass action (irreversible)
535,CamR_Ca2_AB_CaMKIIp binding to PP1a,CamR_Ca2_AB_CaMKIIp + PP1a -> CamR_Ca2_AB_CaMKIIp_PP1a,Mass action (irreversible)
536,CamR_Ca2_AB_CaMKIIp dissociating from CamR_Ca2_AB_CaMKIIp_PP1a,CamR_Ca2_AB_CaMKIIp_PP1a -> CamR_Ca2_AB_CaMKIIp + PP1a,Mass action (irreversible)
537,CamR_Ca2_AB_CaMKII dissociating from CamR_Ca2_AB_CaMKIIp_PP1a,CamR_Ca2_AB_CaMKIIp_PP1a -> CamR_Ca2_AB_CaMKII + PP1a,Mass action (irreversible)
538,CamR_Ca2_AC_CaMKIIp binding to PP1a,CamR_Ca2_AC_CaMKIIp + PP1a -> CamR_Ca2_AC_CaMKIIp_PP1a,Mass action (irreversible)
539,CamR_Ca2_AC_CaMKIIp dissociating from CamR_Ca2_AC_CaMKIIp_PP1a,CamR_Ca2_AC_CaMKIIp_PP1a -> CamR_Ca2_AC_CaMKIIp + PP1a,Mass action (irreversible)
540,CamR_Ca2_AC_CaMKII dissociating from CamR_Ca2_AC_CaMKIIp_PP1a,CamR_Ca2_AC_CaMKIIp_PP1a -> CamR_Ca2_AC_CaMKII + PP1a,Mass action (irreversible)
541,CamR_Ca2_AD_CaMKIIp binding to PP1a,CamR_Ca2_AD_CaMKIIp + PP1a -> CamR_Ca2_AD_CaMKIIp_PP1a,Mass action (irreversible)
542,CamR_Ca2_AD_CaMKIIp dissociating from CamR_Ca2_AD_CaMKIIp_PP1a,CamR_Ca2_AD_CaMKIIp_PP1a -> CamR_Ca2_AD_CaMKIIp + PP1a,Mass action (irreversible)
543,CamR_Ca2_AD_CaMKII dissociating from CamR_Ca2_AD_CaMKIIp_PP1a,CamR_Ca2_AD_CaMKIIp_PP1a -> CamR_Ca2_AD_CaMKII + PP1a,Mass action (irreversible)
544,CamR_Ca2_BC_CaMKIIp binding to PP1a,CamR_Ca2_BC_CaMKIIp + PP1a -> CamR_Ca2_BC_CaMKIIp_PP1a,Mass action (irreversible)
545,CamR_Ca2_BC_CaMKIIp dissociating from CamR_Ca2_BC_CaMKIIp_PP1a,CamR_Ca2_BC_CaMKIIp_PP1a -> CamR_Ca2_BC_CaMKIIp + PP1a,Mass action (irreversible)
546,CamR_Ca2_BC_CaMKII dissociating from CamR_Ca2_BC_CaMKIIp_PP1a,CamR_Ca2_BC_CaMKIIp_PP1a -> CamR_Ca2_BC_CaMKII + PP1a,Mass action (irreversible)
547,CamR_Ca2_BD_CaMKIIp binding to PP1a,CamR_Ca2_BD_CaMKIIp + PP1a -> CamR_Ca2_BD_CaMKIIp_PP1a,Mass action (irreversible)
548,CamR_Ca2_BD_CaMKIIp dissociating from CamR_Ca2_BD_CaMKIIp_PP1a,CamR_Ca2_BD_CaMKIIp_PP1a -> CamR_Ca2_BD_CaMKIIp + PP1a,Mass action (irreversible)
549,CamR_Ca2_BD_CaMKII dissociating from CamR_Ca2_BD_CaMKIIp_PP1a,CamR_Ca2_BD_CaMKIIp_PP1a -> CamR_Ca2_BD_CaMKII + PP1a,Mass action (irreversible)
550,CamR_Ca2_CD_CaMKIIp binding to PP1a,CamR_Ca2_CD_CaMKIIp + PP1a -> CamR_Ca2_CD_CaMKIIp_PP1a,Mass action (irreversible)
551,CamR_Ca2_CD_CaMKIIp dissociating from CamR_Ca2_CD_CaMKIIp_PP1a,CamR_Ca2_CD_CaMKIIp_PP1a -> CamR_Ca2_CD_CaMKIIp + PP1a,Mass action (irreversible)
552,CamR_Ca2_CD_CaMKII dissociating from CamR_Ca2_CD_CaMKIIp_PP1a,CamR_Ca2_CD_CaMKIIp_PP1a -> CamR_Ca2_CD_CaMKII + PP1a,Mass action (irreversible)
553,CamR_Ca3_ABC_CaMKIIp binding to PP1a,CamR_Ca3_ABC_CaMKIIp + PP1a -> CamR_Ca3_ABC_CaMKIIp_PP1a,Mass action (irreversible)
554,CamR_Ca3_ABC_CaMKIIp dissociating from CamR_Ca3_ABC_CaMKIIp_PP1a,CamR_Ca3_ABC_CaMKIIp_PP1a -> CamR_Ca3_ABC_CaMKIIp + PP1a,Mass action (irreversible)
555,CamR_Ca3_ABC_CaMKII dissociating from CamR_Ca3_ABC_CaMKIIp_PP1a,CamR_Ca3_ABC_CaMKIIp_PP1a -> CamR_Ca3_ABC_CaMKII + PP1a,Mass action (irreversible)
556,CamR_Ca3_ABD_CaMKIIp binding to PP1a,CamR_Ca3_ABD_CaMKIIp + PP1a -> CamR_Ca3_ABD_CaMKIIp_PP1a,Mass action (irreversible)
557,CamR_Ca3_ABD_CaMKIIp dissociating from CamR_Ca3_ABD_CaMKIIp_PP1a,CamR_Ca3_ABD_CaMKIIp_PP1a -> CamR_Ca3_ABD_CaMKIIp + PP1a,Mass action (irreversible)
558,CamR_Ca3_ABD_CaMKII dissociating from CamR_Ca3_ABD_CaMKIIp_PP1a,CamR_Ca3_ABD_CaMKIIp_PP1a -> CamR_Ca3_ABD_CaMKII + PP1a,Mass action (irreversible)
559,CamR_Ca3_ACD_CaMKIIp binding to PP1a,CamR_Ca3_ACD_CaMKIIp + PP1a -> CamR_Ca3_ACD_CaMKIIp_PP1a,Mass action (irreversible)
560,CamR_Ca3_ACD_CaMKIIp dissociating from CamR_Ca3_ACD_CaMKIIp_PP1a,CamR_Ca3_ACD_CaMKIIp_PP1a -> CamR_Ca3_ACD_CaMKIIp + PP1a,Mass action (irreversible)
561,CamR_Ca3_ACD_CaMKII dissociating from CamR_Ca3_ACD_CaMKIIp_PP1a,CamR_Ca3_ACD_CaMKIIp_PP1a -> CamR_Ca3_ACD_CaMKII + PP1a,Mass action (irreversible)
562,CamR_Ca3_BCD_CaMKIIp binding to PP1a,CamR_Ca3_BCD_CaMKIIp + PP1a -> CamR_Ca3_BCD_CaMKIIp_PP1a,Mass action (irreversible)
563,CamR_Ca3_BCD_CaMKIIp dissociating from CamR_Ca3_BCD_CaMKIIp_PP1a,CamR_Ca3_BCD_CaMKIIp_PP1a -> CamR_Ca3_BCD_CaMKIIp + PP1a,Mass action (irreversible)
564,CamR_Ca3_BCD_CaMKII dissociating from CamR_Ca3_BCD_CaMKIIp_PP1a,CamR_Ca3_BCD_CaMKIIp_PP1a -> CamR_Ca3_BCD_CaMKII + PP1a,Mass action (irreversible)
565,CamR_Ca4_ABCD_CaMKIIp binding to PP1a,CamR_Ca4_ABCD_CaMKIIp + PP1a -> CamR_Ca4_ABCD_CaMKIIp_PP1a,Mass action (irreversible)
566,CamR_Ca4_ABCD_CaMKIIp dissociating from CamR_Ca4_ABCD_CaMKIIp_PP1a,CamR_Ca4_ABCD_CaMKIIp_PP1a -> CamR_Ca4_ABCD_CaMKIIp + PP1a,Mass action (irreversible)
567,CamR_Ca4_ABCD_CaMKII dissociating from CamR_Ca4_ABCD_CaMKIIp_PP1a,CamR_Ca4_ABCD_CaMKIIp_PP1a -> CamR_Ca4_ABCD_CaMKII + PP1a,Mass action (irreversible)
568,AMPAR Phosphorylation,AMPAR -> AMPAR_P,Mass action (irreversible)
569,AMPAR Dephosphorylation,AMPAR_P -> AMPAR,Mass action (irreversible)
570,PP2B binding to CamR_Ca2_AC,CamR_Ca2_AC + PP2B -> CamR_Ca2_AC_PP2B,Mass action (irreversible)
571,Ca binding to PP2Bi,PP2Bi + Ca -> PP2Bi_Ca1,Mass action (irreversible)
572,Ca binding to PP2Bi_Ca1,PP2Bi_Ca1 + Ca -> PP2Bi_Ca2,Mass action (irreversible)
573,Ca binding to PP2Bi_Ca2,PP2Bi_Ca2 + Ca -> PP2Bi_Ca3,Mass action (irreversible)
574,Ca binding to PP2Bi_Ca3,PP2Bi_Ca3 + Ca -> PP2B,Mass action (irreversible)
575,Ca dissociating from PP2Bi_Ca2,PP2Bi_Ca2 -> PP2Bi_Ca1 + Ca,Mass action (irreversible)
576,Ca dissociating from PP2Bi_Ca3,PP2Bi_Ca3 -> PP2Bi_Ca2 + Ca,Mass action (irreversible)
577,Ca dissociating from PP2B,PP2B -> PP2Bi_Ca3 + Ca,Mass action (irreversible)
578,Ca dissociating from PP2Bi_Ca1,PP2Bi_Ca1 -> PP2Bi + Ca,Mass action (irreversible)