,C1P1,C1P2,C1P3,C2P1,C2P2,C2P3,C3P1,C3P2,C3P3,Time
202000,0.384981,0.444629,0.476234,0.17536600000000002,0.284521,0.294506,0.112818,0.13136199999999998,0.16683299999999998,202.0
203000,0.386184,0.44528999999999996,0.476725,0.17534,0.28569,0.29532800000000003,0.112777,0.131313,0.166818,203.0
204000,0.387373,0.445941,0.47721,0.175315,0.286855,0.296209,0.11273599999999999,0.13126500000000002,0.166804,204.0
205000,0.388547,0.446583,0.477687,0.17529,0.288016,0.297053,0.112696,0.131219,0.16679000000000002,205.0
206000,0.389707,0.447215,0.47815799999999997,0.175267,0.289173,0.29789099999999996,0.112657,0.131173,0.166777,206.0
207000,0.390852,0.44783900000000004,0.478621,0.175244,0.29032600000000003,0.298772,0.11261900000000001,0.131128,0.16676300000000002,207.0
208000,0.391984,0.448454,0.47907799999999995,0.175222,0.291473,0.299593,0.11258199999999999,0.13108399999999998,0.16675,208.0
209000,0.39310100000000003,0.449061,0.479529,0.1752,0.292616,0.300471,0.112545,0.13104000000000002,0.166737,209.0
210000,0.394204,0.44965900000000003,0.479973,0.17518,0.29375300000000004,0.301313,0.112509,0.130998,0.166724,210.0
211000,0.395293,0.450248,0.48041000000000006,0.17515899999999998,0.29488400000000003,0.302147,0.112474,0.130956,0.166712,211.0
212000,0.396369,0.450829,0.48084099999999996,0.17514000000000002,0.296009,0.30302199999999996,0.11243900000000001,0.130916,0.166699,212.0
213000,0.39743,0.451402,0.481267,0.175121,0.297127,0.303838,0.11240499999999999,0.130876,0.166687,213.0
214000,0.39847899999999997,0.45196800000000004,0.48168599999999995,0.175103,0.298239,0.304709,0.112372,0.13083599999999998,0.166675,214.0
215000,0.399513,0.452525,0.482099,0.175085,0.299344,0.305544,0.11233900000000001,0.130798,0.166664,215.0
216000,0.400535,0.453074,0.48250600000000005,0.175068,0.30044099999999996,0.30637,0.11230699999999999,0.13076,0.166652,216.0
217000,0.401543,0.45361599999999996,0.482907,0.175051,0.301532,0.307236,0.112276,0.130723,0.166641,217.0
218000,0.402539,0.45415,0.483303,0.175035,0.302614,0.308043,0.11224500000000001,0.130687,0.16663,218.0
219000,0.403521,0.45467700000000005,0.48369300000000004,0.175019,0.303689,0.30890300000000004,0.11221500000000001,0.130651,0.16661900000000002,219.0
220000,0.404491,0.455196,0.48407799999999995,0.175004,0.30475599999999997,0.309727,0.11218499999999999,0.130616,0.166608,220.0
221000,0.405448,0.45570900000000003,0.48445699999999997,0.174989,0.305815,0.310542,0.11215599999999999,0.130582,0.166598,221.0
222000,0.40639200000000003,0.456214,0.48483100000000007,0.174975,0.306865,0.311395,0.11212799999999999,0.130548,0.16658699999999999,222.0
223000,0.40732399999999996,0.456712,0.485199,0.17496099999999998,0.30790700000000004,0.312191,0.1121,0.13051500000000002,0.166577,223.0
224000,0.408244,0.45720299999999997,0.485563,0.174948,0.30894,0.31303600000000004,0.112072,0.130483,0.16656700000000002,224.0
225000,0.409152,0.457688,0.485921,0.17493499999999998,0.30996399999999996,0.313846,0.112046,0.130451,0.16655699999999998,225.0
226000,0.41004799999999997,0.45816599999999996,0.486275,0.174922,0.31098000000000003,0.31464699999999995,0.11201900000000001,0.13042,0.166548,226.0
227000,0.41093199999999996,0.45863699999999996,0.48662299999999997,0.17490999999999998,0.311987,0.31548400000000004,0.11199300000000001,0.130389,0.16653800000000002,227.0
228000,0.411804,0.45910200000000007,0.486966,0.174899,0.31298400000000004,0.316265,0.11196800000000001,0.130359,0.16652899999999998,228.0
229000,0.41266499999999995,0.45956099999999994,0.48730500000000004,0.174887,0.313973,0.31709299999999996,0.111943,0.13033,0.16652,229.0
230000,0.41351499999999997,0.460013,0.48763900000000004,0.174876,0.314952,0.317887,0.111919,0.130301,0.166511,230.0
231000,0.41435299999999997,0.460459,0.487969,0.17486500000000002,0.315922,0.31867199999999996,0.11189500000000001,0.130273,0.16650299999999998,231.0
232000,0.415181,0.460899,0.48829300000000003,0.17485499999999998,0.31688299999999997,0.31949,0.111872,0.130245,0.166494,232.0
233000,0.415997,0.461333,0.48861400000000005,0.174845,0.317834,0.320254,0.111849,0.130218,0.166486,233.0
234000,0.41680200000000006,0.461761,0.48893000000000003,0.174835,0.318776,0.321063,0.111826,0.130191,0.166478,234.0
235000,0.41759700000000005,0.462183,0.489241,0.174826,0.319708,0.321839,0.111804,0.130165,0.16647,235.0
236000,0.418382,0.462599,0.489548,0.174816,0.320631,0.322604,0.11178199999999999,0.130139,0.166462,236.0
237000,0.419155,0.46301000000000003,0.48985100000000004,0.174808,0.32154499999999997,0.323402,0.11176099999999999,0.130114,0.166454,237.0
238000,0.419919,0.463416,0.49015,0.174799,0.322448,0.32414699999999996,0.11174,0.130089,0.166447,238.0
239000,0.42067200000000005,0.463815,0.49044499999999996,0.174791,0.323343,0.324936,0.11172,0.13006500000000001,0.16644,239.0
240000,0.421416,0.46421,0.49073500000000003,0.174783,0.324228,0.325691,0.1117,0.13004100000000002,0.166433,240.0
241000,0.42215,0.464599,0.491022,0.174775,0.32510300000000003,0.326436,0.11168,0.130017,0.166426,241.0
242000,0.42287299999999994,0.464983,0.491305,0.174767,0.325969,0.32721300000000003,0.111661,0.129994,0.166419,242.0
243000,0.423588,0.46536099999999997,0.491584,0.17476,0.326826,0.327937,0.111642,0.129972,0.16641199999999998,243.0
244000,0.424292,0.465735,0.491859,0.174753,0.327673,0.328704,0.111623,0.12995,0.166406,244.0
245000,0.42498800000000003,0.466104,0.49213,0.174746,0.32850999999999997,0.329437,0.111605,0.129928,0.166399,245.0
246000,0.425674,0.466467,0.49239799999999995,0.174739,0.329338,0.33016100000000004,0.11158699999999999,0.129907,0.166393,246.0
247000,0.42635100000000004,0.466826,0.492662,0.174733,0.33015700000000003,0.330915,0.111569,0.129886,0.16638699999999998,247.0
248000,0.427019,0.46718000000000004,0.492922,0.174726,0.330967,0.33161799999999997,0.111552,0.129865,0.166381,248.0
249000,0.427679,0.467529,0.493179,0.17472000000000001,0.33176700000000003,0.332361,0.111535,0.12984500000000002,0.166376,249.0
250000,0.428329,0.46787399999999996,0.493433,0.174714,0.332558,0.333073,0.11151900000000001,0.129825,0.16637000000000002,250.0
251000,0.428971,0.468214,0.493683,0.174709,0.333339,0.33377399999999996,0.11150299999999999,0.129806,0.166365,251.0
252000,0.429605,0.46855,0.493929,0.174703,0.33411199999999996,0.334505,0.11148699999999999,0.12978699999999999,0.16635999999999998,252.0
253000,0.43023,0.46888100000000005,0.494173,0.174698,0.334875,0.335185,0.111471,0.129768,0.166355,253.0
254000,0.430846,0.469208,0.494413,0.17469200000000001,0.33563000000000004,0.335905,0.111456,0.12975,0.16635,254.0
255000,0.43145500000000003,0.46953,0.49465,0.17468699999999998,0.336375,0.336593,0.11144100000000001,0.129732,0.166345,255.0
256000,0.43205600000000005,0.46984799999999993,0.494883,0.174682,0.33711199999999997,0.33727199999999996,0.111426,0.12971400000000002,0.16634000000000002,256.0
257000,0.432648,0.47016199999999997,0.49511400000000005,0.174678,0.33784000000000003,0.337978,0.111411,0.129697,0.16633599999999998,257.0
258000,0.433233,0.470472,0.495341,0.174673,0.338559,0.338636,0.111397,0.12968,0.16633199999999998,258.0
259000,0.43381000000000003,0.470778,0.495566,0.17466900000000002,0.339269,0.339332,0.111383,0.129663,0.166327,259.0
260000,0.43438000000000004,0.47107899999999997,0.495787,0.174664,0.33997,0.339997,0.11137000000000001,0.129647,0.166323,260.0
261000,0.434942,0.47137700000000005,0.49600500000000003,0.17465999999999998,0.340663,0.340652,0.111356,0.129631,0.166319,261.0
262000,0.435497,0.471671,0.496221,0.174656,0.341348,0.341335,0.11134300000000001,0.129615,0.16631600000000002,262.0
263000,0.436044,0.47196099999999996,0.496433,0.174652,0.342024,0.341969,0.11133,0.129599,0.166312,263.0
264000,0.436584,0.47224700000000003,0.49664300000000006,0.174648,0.34269099999999997,0.342641,0.11131700000000001,0.129584,0.16630899999999998,264.0
265000,0.437118,0.47253,0.49685,0.174645,0.343351,0.34328200000000003,0.111305,0.12956900000000002,0.166305,265.0
266000,0.437644,0.472808,0.497055,0.17464100000000002,0.344002,0.343914,0.111293,0.129555,0.166302,266.0
267000,0.438163,0.473084,0.49725600000000003,0.17463800000000002,0.344645,0.344573,0.11128099999999999,0.12954000000000002,0.166299,267.0
268000,0.438676,0.473355,0.49745500000000004,0.17463399999999998,0.34528000000000003,0.345184,0.111269,0.129526,0.166296,268.0
269000,0.43918100000000004,0.47362299999999996,0.497651,0.17463099999999998,0.345907,0.34583200000000003,0.111258,0.129512,0.166294,269.0
270000,0.43968100000000004,0.47388800000000003,0.497845,0.174628,0.346526,0.34645,0.111246,0.129499,0.166291,270.0
271000,0.440173,0.474149,0.498036,0.174625,0.347137,0.347059,0.11123499999999999,0.129485,0.16628900000000002,271.0
272000,0.44066000000000005,0.47440699999999997,0.498225,0.174622,0.34774,0.347693,0.111224,0.129472,0.166286,272.0
273000,0.44114,0.47466099999999994,0.498411,0.174619,0.34833600000000003,0.34828200000000004,0.11121400000000001,0.129459,0.166284,273.0
274000,0.44161300000000003,0.474912,0.498594,0.17461600000000002,0.34892399999999996,0.348906,0.111203,0.129447,0.16628199999999999,274.0
275000,0.44208100000000006,0.47516,0.498776,0.17461300000000002,0.349505,0.349501,0.111193,0.129434,0.16627999999999998,275.0
276000,0.442542,0.475405,0.498954,0.174611,0.350078,0.350086,0.11118299999999999,0.129422,0.166279,276.0
277000,0.44299799999999995,0.475646,0.49913100000000005,0.17460799999999999,0.350644,0.350697,0.11117300000000001,0.12941,0.166277,277.0
278000,0.44344799999999995,0.47588500000000006,0.499305,0.17460599999999998,0.351202,0.351263,0.11116300000000001,0.129398,0.166276,278.0
279000,0.443891,0.47612,0.49947700000000006,0.174603,0.351754,0.35186300000000004,0.111154,0.129387,0.166274,279.0
280000,0.44433,0.47635299999999997,0.499647,0.174601,0.352298,0.352436,0.11114500000000001,0.129376,0.166273,280.0
281000,0.444762,0.47658199999999995,0.49981400000000004,0.174599,0.352835,0.35299899999999995,0.111135,0.129365,0.166272,281.0
282000,0.44518900000000006,0.47680900000000004,0.49998000000000004,0.174597,0.353365,0.353586,0.111126,0.129354,0.166271,282.0
283000,0.44561000000000006,0.47703199999999996,0.500143,0.174594,0.353889,0.35413,0.11111800000000001,0.129343,0.166271,283.0
284000,0.44602600000000003,0.477253,0.500304,0.174592,0.354405,0.354707,0.11110899999999999,0.129332,0.16627,284.0
285000,0.446437,0.477471,0.500463,0.17459000000000002,0.35491500000000004,0.355257,0.1111,0.129322,0.16627,285.0
286000,0.446842,0.47768599999999994,0.5006189999999999,0.17458900000000002,0.35541799999999996,0.355798,0.11109200000000001,0.12931199999999998,0.166269,286.0
287000,0.44724200000000003,0.47789799999999993,0.5007739999999999,0.174587,0.355915,0.356362,0.11108399999999999,0.129302,0.166269,287.0
288000,0.447637,0.478108,0.500927,0.174585,0.356405,0.35688400000000003,0.111076,0.12929200000000002,0.166269,288.0
289000,0.44802700000000006,0.478315,0.501078,0.174583,0.356889,0.357439,0.111068,0.12928299999999998,0.166269,289.0
290000,0.448412,0.47851899999999997,0.5012270000000001,0.174581,0.35736599999999996,0.357967,0.11105999999999999,0.129273,0.166269,290.0
291000,0.448792,0.478721,0.501373,0.17457999999999999,0.357837,0.358486,0.111053,0.12926400000000002,0.16627,291.0
292000,0.449168,0.47891999999999996,0.5015189999999999,0.174578,0.358302,0.359028,0.111045,0.129255,0.16627,292.0
293000,0.449538,0.479117,0.5016619999999999,0.174577,0.358761,0.359529,0.11103800000000001,0.129246,0.166271,293.0
294000,0.44990399999999997,0.479311,0.501803,0.174575,0.359214,0.360062,0.11103099999999999,0.129237,0.166272,294.0
295000,0.45026499999999997,0.47950299999999996,0.501942,0.174574,0.359661,0.360568,0.111024,0.12922899999999998,0.166273,295.0
296000,0.450621,0.479692,0.50208,0.174572,0.360102,0.361066,0.111017,0.12922,0.166274,296.0
297000,0.45097299999999996,0.479879,0.502216,0.174571,0.360537,0.361587,0.11101,0.129212,0.166275,297.0
298000,0.451321,0.48006400000000005,0.50235,0.17457,0.360966,0.362067,0.11100399999999999,0.12920399999999999,0.166276,298.0
299000,0.451664,0.480246,0.502483,0.174568,0.36139,0.362579,0.110997,0.129196,0.166278,299.0
300000,0.452003,0.480426,0.502613,0.174567,0.361808,0.363064,0.110991,0.129188,0.166279,300.0
301000,0.452337,0.480604,0.502742,0.174566,0.36222,0.36354200000000003,0.11098399999999999,0.12918,0.16628099999999998,301.0
302000,0.452667,0.48078000000000004,0.5028699999999999,0.174565,0.362627,0.364041,0.110978,0.129173,0.166283,302.0
303000,0.45299399999999995,0.48095299999999996,0.502996,0.17456300000000002,0.363029,0.364502,0.110972,0.129165,0.166285,303.0
304000,0.453316,0.481124,0.50312,0.174562,0.363425,0.364992,0.11096600000000001,0.129158,0.166287,304.0
305000,0.45363400000000004,0.481293,0.503242,0.174561,0.363817,0.365458,0.11096099999999999,0.129151,0.16629000000000002,305.0
306000,0.45394799999999996,0.48146000000000005,0.503363,0.17456,0.364202,0.36591599999999996,0.110955,0.129144,0.166292,306.0
307000,0.454258,0.481625,0.503483,0.174559,0.364583,0.36639499999999997,0.110949,0.129137,0.166295,307.0
308000,0.454564,0.481788,0.5036010000000001,0.174558,0.36495900000000003,0.366836,0.110944,0.12913,0.166298,308.0
309000,0.454866,0.48194799999999993,0.503717,0.174557,0.365329,0.367307,0.11093800000000001,0.12912300000000002,0.1663,309.0
310000,0.455165,0.48210699999999995,0.503832,0.174556,0.365695,0.367753,0.11093299999999999,0.129117,0.166304,310.0
311000,0.455459,0.482264,0.503945,0.174556,0.366056,0.368191,0.110928,0.12911,0.16630699999999998,311.0
312000,0.45575,0.482419,0.504058,0.174555,0.366412,0.368651,0.11092300000000001,0.129104,0.16630999999999999,312.0
313000,0.456038,0.482572,0.5041680000000001,0.174554,0.366764,0.369073,0.110918,0.129098,0.16631400000000002,313.0
314000,0.456322,0.48272299999999996,0.5042770000000001,0.17455299999999999,0.36711,0.36952399999999996,0.11091300000000001,0.129092,0.16631700000000002,314.0
315000,0.45660200000000006,0.482872,0.5043850000000001,0.17455199999999998,0.367452,0.369952,0.11090799999999999,0.12908599999999998,0.166321,315.0
316000,0.456879,0.483019,0.504492,0.174551,0.36779,0.370372,0.110903,0.12908,0.166325,316.0
317000,0.457153,0.48316400000000004,0.5045970000000001,0.174551,0.368123,0.370813,0.110899,0.129074,0.166329,317.0
318000,0.45742299999999997,0.483308,0.5047,0.17455,0.36845100000000003,0.371216,0.110894,0.12906800000000002,0.16633299999999998,318.0
319000,0.457689,0.48345,0.504803,0.174549,0.368775,0.37164899999999995,0.11089,0.129063,0.166338,319.0
320000,0.457953,0.48358999999999996,0.504904,0.174549,0.369095,0.37205900000000003,0.110885,0.129057,0.16634200000000002,320.0
321000,0.45821300000000004,0.483729,0.505004,0.174548,0.36941,0.372461,0.110881,0.129052,0.166347,321.0
322000,0.45847,0.483865,0.505103,0.174547,0.369722,0.372883,0.110877,0.129047,0.166352,322.0
323000,0.45872399999999997,0.484,0.5052,0.174547,0.370029,0.37327,0.110873,0.12904100000000002,0.166357,323.0
324000,0.458974,0.484134,0.505296,0.174546,0.370332,0.373685,0.11086900000000001,0.12903599999999998,0.16636199999999998,324.0
325000,0.459222,0.48426499999999995,0.505391,0.174546,0.370631,0.374077,0.110865,0.129031,0.16636800000000002,325.0
326000,0.459466,0.48439499999999996,0.5054850000000001,0.174545,0.37092600000000003,0.374461,0.11086099999999999,0.129026,0.166373,326.0
327000,0.459708,0.48452399999999995,0.505577,0.174544,0.371217,0.374867,0.110857,0.129022,0.166379,327.0
328000,0.459946,0.484651,0.5056689999999999,0.174544,0.371504,0.375236,0.110853,0.12901700000000002,0.16638499999999998,328.0
329000,0.460182,0.48477600000000004,0.5057590000000001,0.174543,0.371787,0.375634,0.110849,0.129012,0.166391,329.0
330000,0.46041400000000005,0.4849,0.505848,0.174543,0.372067,0.37600900000000004,0.110846,0.12900799999999998,0.166397,330.0
331000,0.46064399999999994,0.485022,0.5059359999999999,0.174542,0.372343,0.376377,0.11084200000000001,0.129003,0.166403,331.0
332000,0.46087100000000003,0.48514300000000005,0.506023,0.174542,0.37261500000000003,0.376766,0.11083900000000001,0.128999,0.16641,332.0
333000,0.461096,0.485263,0.506109,0.174541,0.372883,0.377119,0.11083499999999999,0.128994,0.166416,333.0
334000,0.46131700000000003,0.48538000000000003,0.506193,0.174541,0.373148,0.3775,0.110832,0.12899000000000002,0.16642300000000002,334.0
335000,0.46153599999999995,0.485497,0.5062770000000001,0.174541,0.373409,0.377859,0.110829,0.128986,0.16643,335.0
336000,0.46175200000000005,0.485612,0.506359,0.17454,0.373667,0.378212,0.110825,0.12898199999999999,0.166437,336.0
337000,0.461966,0.48572600000000005,0.506441,0.17454,0.373921,0.37858400000000003,0.110822,0.128978,0.166445,337.0
338000,0.46217700000000006,0.485838,0.506522,0.174539,0.374172,0.378922,0.110819,0.128974,0.166452,338.0
339000,0.46238500000000005,0.48594899999999996,0.506601,0.174539,0.37442,0.379287,0.11081600000000001,0.12897,0.16646,339.0
340000,0.462591,0.486058,0.50668,0.174539,0.374664,0.379631,0.11081300000000001,0.128966,0.166468,340.0
341000,0.462794,0.486166,0.506757,0.174538,0.37490500000000004,0.379968,0.11080999999999999,0.128962,0.166476,341.0
342000,0.462995,0.48627299999999996,0.506834,0.174538,0.375143,0.380325,0.11080699999999999,0.128959,0.166484,342.0
343000,0.463193,0.486379,0.506909,0.174538,0.375377,0.380648,0.110804,0.128955,0.166492,343.0
344000,0.46338900000000005,0.486483,0.506984,0.174537,0.375608,0.380998,0.110802,0.128952,0.166501,344.0
345000,0.46358299999999997,0.48658599999999996,0.507058,0.174537,0.375837,0.38132699999999997,0.110799,0.128948,0.16651,345.0
346000,0.46377399999999996,0.486688,0.507131,0.174537,0.376062,0.38164899999999996,0.110796,0.128945,0.166519,346.0
347000,0.463963,0.486789,0.507203,0.174536,0.376284,0.38199099999999997,0.110794,0.128941,0.166528,347.0
348000,0.46415,0.486888,0.507274,0.174536,0.37650300000000003,0.3823,0.11079100000000001,0.128938,0.166537,348.0
349000,0.464334,0.486986,0.5073439999999999,0.174536,0.37672,0.382635,0.11078800000000001,0.128935,0.166547,349.0
350000,0.464516,0.487083,0.507413,0.174535,0.376933,0.38295,0.110786,0.128932,0.16655699999999998,350.0
351000,0.464697,0.487179,0.5074810000000001,0.174535,0.377144,0.383258,0.110784,0.128928,0.16656600000000002,351.0
352000,0.46487399999999995,0.487274,0.507549,0.174535,0.37735100000000005,0.38358600000000004,0.11078099999999999,0.128925,0.166577,352.0
353000,0.46505,0.487367,0.507616,0.174535,0.377556,0.383881,0.110779,0.128922,0.16658699999999999,353.0
354000,0.46522399999999997,0.48746000000000006,0.507682,0.174534,0.377759,0.384202,0.110776,0.128919,0.166597,354.0
355000,0.465395,0.487551,0.5077470000000001,0.174534,0.377958,0.38450300000000004,0.110774,0.128916,0.166608,355.0
356000,0.46556499999999995,0.487641,0.507811,0.174534,0.378155,0.38479800000000003,0.11077200000000001,0.128914,0.16661900000000002,356.0
357000,0.465732,0.48773,0.5078739999999999,0.174534,0.378349,0.385112,0.11077000000000001,0.128911,0.16663,357.0
358000,0.465898,0.48781800000000003,0.507937,0.174534,0.37854099999999996,0.385394,0.110768,0.128908,0.166642,358.0
359000,0.46606099999999995,0.48790500000000003,0.507999,0.174533,0.37873,0.385702,0.110766,0.128905,0.166653,359.0
360000,0.46622299999999994,0.487991,0.5080600000000001,0.174533,0.378916,0.38599,0.11076300000000001,0.128903,0.166665,360.0
361000,0.46638199999999996,0.488076,0.508121,0.174533,0.3791,0.386272,0.11076099999999998,0.1289,0.166677,361.0
362000,0.46653999999999995,0.48816000000000004,0.50818,0.174533,0.379282,0.386573,0.110759,0.128897,0.166689,362.0
363000,0.466696,0.48824300000000004,0.508239,0.174533,0.379461,0.386842,0.110758,0.128895,0.166702,363.0
364000,0.46684899999999996,0.488324,0.508297,0.174532,0.379637,0.387137,0.110756,0.128892,0.166714,364.0
365000,0.46700200000000003,0.48840500000000003,0.508355,0.174532,0.379812,0.387413,0.11075399999999999,0.12889,0.166727,365.0
366000,0.46715200000000007,0.48848500000000006,0.508412,0.174532,0.379984,0.387683,0.110752,0.128887,0.16674,366.0
367000,0.4673,0.48856400000000005,0.508468,0.174532,0.380153,0.387971,0.11075,0.128885,0.16675399999999999,367.0
368000,0.467447,0.488642,0.508523,0.174532,0.380321,0.388228,0.110748,0.128883,0.166767,368.0
369000,0.467592,0.48871899999999996,0.508578,0.174532,0.380486,0.388511,0.110747,0.12888,0.16678099999999998,369.0
370000,0.467735,0.488796,0.508632,0.174531,0.38064899999999996,0.38877399999999995,0.11074500000000001,0.128878,0.166795,370.0
371000,0.46787700000000004,0.488871,0.508685,0.174531,0.38081,0.389033,0.11074300000000001,0.128876,0.16680899999999999,371.0
372000,0.468017,0.48894499999999996,0.508738,0.174531,0.380968,0.389309,0.11074200000000001,0.128874,0.166824,372.0
373000,0.46815500000000004,0.489019,0.50879,0.174531,0.381125,0.38955500000000004,0.11074,0.12887200000000001,0.16683900000000002,373.0
374000,0.468292,0.489091,0.508841,0.174531,0.381279,0.389826,0.11073800000000002,0.12887,0.166854,374.0
375000,0.46842700000000004,0.489163,0.508892,0.174531,0.381431,0.39007800000000004,0.11073699999999999,0.128868,0.16686900000000002,375.0
376000,0.46856000000000003,0.489234,0.508942,0.174531,0.38158200000000003,0.390324,0.11073499999999999,0.128866,0.16688499999999998,376.0
377000,0.468692,0.489304,0.508992,0.17453,0.38173,0.39058899999999996,0.11073399999999999,0.128864,0.1669,377.0
378000,0.468822,0.48937299999999995,0.5090399999999999,0.17453,0.38187600000000005,0.390824,0.110732,0.12886199999999998,0.166917,378.0
379000,0.468951,0.489442,0.509089,0.17453,0.382021,0.391084,0.110731,0.12886,0.166933,379.0
380000,0.469078,0.489509,0.5091359999999999,0.17453,0.38216300000000003,0.391325,0.110729,0.128858,0.16695,380.0
381000,0.469204,0.489576,0.509184,0.17453,0.382304,0.391561,0.110728,0.128856,0.166966,381.0
382000,0.46932799999999997,0.489642,0.5092300000000001,0.17453,0.382442,0.391814,0.11072699999999999,0.128854,0.166984,382.0
383000,0.469451,0.48970699999999995,0.5092760000000001,0.17453,0.382579,0.39203899999999997,0.110725,0.128852,0.167001,383.0
384000,0.46957200000000004,0.48977200000000004,0.509322,0.17453,0.382714,0.392288,0.110724,0.128851,0.167019,384.0
385000,0.469692,0.489835,0.509366,0.17453,0.382847,0.392518,0.110723,0.128849,0.167037,385.0
386000,0.46981000000000006,0.48989799999999994,0.509411,0.174529,0.38297800000000004,0.392744,0.110721,0.128847,0.167055,386.0
387000,0.46992700000000004,0.48996000000000006,0.509455,0.174529,0.383108,0.392987,0.11072,0.12884600000000002,0.167074,387.0
388000,0.47004300000000004,0.490022,0.509498,0.174529,0.383236,0.393201,0.11071900000000001,0.12884400000000001,0.16709300000000002,388.0
389000,0.470157,0.490083,0.50954,0.174529,0.383362,0.39344,0.11071800000000001,0.128842,0.16711199999999998,389.0
390000,0.47026999999999997,0.49014300000000005,0.509583,0.174529,0.383486,0.39366,0.11071700000000001,0.128841,0.167132,390.0
391000,0.47038199999999997,0.490202,0.509624,0.174529,0.38360900000000003,0.393876,0.11071500000000001,0.128839,0.167151,391.0
392000,0.470492,0.49026000000000003,0.5096649999999999,0.174529,0.38373,0.394109,0.110714,0.128838,0.16717200000000002,392.0
393000,0.47060100000000005,0.49031800000000003,0.509706,0.174529,0.38385,0.394314,0.110713,0.12883599999999998,0.167192,393.0
394000,0.470709,0.49037600000000003,0.509746,0.174529,0.383968,0.394543,0.11071199999999999,0.12883499999999998,0.167213,394.0
395000,0.470816,0.490432,0.509786,0.174529,0.38408400000000004,0.394753,0.11071099999999999,0.128833,0.167234,395.0
396000,0.470921,0.49048800000000004,0.509825,0.174529,0.38419899999999996,0.39496,0.11070999999999999,0.128832,0.167256,396.0
397000,0.471025,0.490543,0.509864,0.174529,0.384312,0.395183,0.11070899999999999,0.128831,0.167277,397.0
398000,0.471128,0.490598,0.5099020000000001,0.174529,0.384424,0.395379,0.11070799999999999,0.128829,0.1673,398.0
399000,0.47123000000000004,0.49065200000000003,0.50994,0.174528,0.384534,0.395598,0.110707,0.128828,0.167322,399.0
400000,0.47133,0.490705,0.509977,0.174528,0.38464299999999996,0.3958,0.110706,0.128827,0.167345,400.0
401000,0.47143,0.49075799999999997,0.5100140000000001,0.174528,0.38475,0.395997,0.110705,0.128825,0.16736800000000002,401.0
402000,0.47152799999999995,0.49081,0.51005,0.174528,0.384856,0.39621100000000004,0.110704,0.128824,0.167392,402.0
403000,0.471625,0.490861,0.5100859999999999,0.174528,0.384961,0.39639800000000003,0.110703,0.128823,0.167416,403.0
404000,0.471721,0.490912,0.5101220000000001,0.174528,0.38506399999999996,0.396608,0.110702,0.128821,0.16744,404.0
