ID,Name,Type,Initial value
1,CamR,reactions,1.45E-09
2,CamT,reactions,0.0001
3,Ca,fixed,7.25E-09
4,CaMKII,reactions,7.00E-05
5,PP2B,reactions,0
6,D,reactions,3.00E-06
7,PKA,reactions,1.20E-08
8,PP1a,reactions,2.00E-06
9,CamR_Ca1_A,reactions,0
10,CamR_Ca1_B,reactions,0
11,CamR_Ca1_C,reactions,0
12,CamR_Ca1_D,reactions,0
13,CamR_Ca2_AB,reactions,0
14,CamR_Ca2_AC,reactions,0
15,CamR_Ca2_AD,reactions,0
16,CamR_Ca2_BC,reactions,0
17,CamR_Ca2_BD,reactions,0
18,CamR_Ca2_CD,reactions,0
19,CamR_Ca3_ABC,reactions,0
20,CamR_Ca3_ABD,reactions,0
21,CamR_Ca3_ACD,reactions,0
22,CamR_Ca3_BCD,reactions,0
23,CamR_Ca4_ABCD,reactions,0
24,CamT_Ca1_A,reactions,0
25,CamT_Ca1_B,reactions,0
26,CamT_Ca1_C,reactions,0
27,CamT_Ca1_D,reactions,0
28,CamT_Ca2_AB,reactions,0
29,CamT_Ca2_AC,reactions,0
30,CamT_Ca2_AD,reactions,0
31,CamT_Ca2_BC,reactions,0
32,CamT_Ca2_BD,reactions,0
33,CamT_Ca2_CD,reactions,0
34,CamT_Ca3_ABC,reactions,0
35,CamT_Ca3_ABD,reactions,0
36,CamT_Ca3_ACD,reactions,0
37,CamT_Ca3_BCD,reactions,0
38,CamT_Ca4_ABCD,reactions,0
39,CamR_CaMKII,reactions,0
40,CamR_Ca1_A_CaMKII,reactions,0
41,CamR_Ca1_B_CaMKII,reactions,0
42,CamR_Ca1_C_CaMKII,reactions,0
43,CamR_Ca1_D_CaMKII,reactions,0
44,CamR_Ca2_AB_CaMKII,reactions,0
45,CamR_Ca2_AC_CaMKII,reactions,0
46,CamR_Ca2_AD_CaMKII,reactions,0
47,CamR_Ca2_BC_CaMKII,reactions,0
48,CamR_Ca2_BD_CaMKII,reactions,0
49,CamR_Ca2_CD_CaMKII,reactions,0
50,CamR_Ca3_ABC_CaMKII,reactions,0
51,CamR_Ca3_ABD_CaMKII,reactions,0
52,CamR_Ca3_ACD_CaMKII,reactions,0
53,CamR_Ca3_BCD_CaMKII,reactions,0
54,CamR_Ca4_ABCD_CaMKII,reactions,0
55,CamR_PP2B,reactions,0
56,CamR_Ca1_A_PP2B,reactions,0
57,CamR_Ca1_B_PP2B,reactions,0
58,CamR_Ca1_C_PP2B,reactions,0
59,CamR_Ca1_D_PP2B,reactions,0
60,CamR_Ca2_AB_PP2B,reactions,0
61,CamR_Ca2_AC_PP2B,reactions,0
62,CamR_Ca2_AD_PP2B,reactions,0
63,CamR_Ca2_BC_PP2B,reactions,0
64,CamR_Ca2_BD_PP2B,reactions,0
65,CamR_Ca2_CD_PP2B,reactions,0
66,CamR_Ca3_ABC_PP2B,reactions,0
67,CamR_Ca3_ABD_PP2B,reactions,0
68,CamR_Ca3_ACD_PP2B,reactions,0
69,CamR_Ca3_BCD_PP2B,reactions,0
70,CamR_Ca4_ABCD_PP2B,reactions,0
71,CaMKIIp,reactions,0
72,CamR_CaMKIIp,reactions,0
73,CamR_Ca1_A_CaMKIIp,reactions,0
74,CamR_Ca1_B_CaMKIIp,reactions,0
75,CamR_Ca1_C_CaMKIIp,reactions,0
76,CamR_Ca1_D_CaMKIIp,reactions,0
77,CamR_Ca2_AB_CaMKIIp,reactions,0
78,CamR_Ca2_AC_CaMKIIp,reactions,0
79,CamR_Ca2_AD_CaMKIIp,reactions,0
80,CamR_Ca2_BC_CaMKIIp,reactions,0
81,CamR_Ca2_BD_CaMKIIp,reactions,0
82,CamR_Ca2_CD_CaMKIIp,reactions,0
83,CamR_Ca3_ABC_CaMKIIp,reactions,0
84,CamR_Ca3_ABD_CaMKIIp,reactions,0
85,CamR_Ca3_ACD_CaMKIIp,reactions,0
86,CamR_Ca3_BCD_CaMKIIp,reactions,0
87,CamR_Ca4_ABCD_CaMKIIp,reactions,0
88,Dp,reactions,0
89,D_PKA,reactions,0
90,Dp_CamR_PP2B,reactions,0
91,Dp_CamR_Ca1_A_PP2B,reactions,0
92,Dp_CamR_Ca1_B_PP2B,reactions,0
93,Dp_CamR_Ca1_C_PP2B,reactions,0
94,Dp_CamR_Ca1_D_PP2B,reactions,0
95,Dp_CamR_Ca2_AB_PP2B,reactions,0
96,Dp_CamR_Ca2_AC_PP2B,reactions,0
97,Dp_CamR_Ca2_AD_PP2B,reactions,0
98,Dp_CamR_Ca2_BC_PP2B,reactions,0
99,Dp_CamR_Ca2_BD_PP2B,reactions,0
100,Dp_CamR_Ca2_CD_PP2B,reactions,0
101,Dp_CamR_Ca3_ABC_PP2B,reactions,0
102,Dp_CamR_Ca3_ABD_PP2B,reactions,0
103,Dp_CamR_Ca3_ACD_PP2B,reactions,0
104,Dp_CamR_Ca3_BCD_PP2B,reactions,0
105,Dp_CamR_Ca4_ABCD_PP2B,reactions,0
106,PP1a_Dp,reactions,0
107,CaMKIIp_PP1a,reactions,0
108,CamR_CaMKIIp_PP1a,reactions,0
109,CamR_Ca1_A_CaMKIIp_PP1a,reactions,0
110,CamR_Ca1_B_CaMKIIp_PP1a,reactions,0
111,CamR_Ca1_C_CaMKIIp_PP1a,reactions,0
112,CamR_Ca1_D_CaMKIIp_PP1a,reactions,0
113,CamR_Ca2_AB_CaMKIIp_PP1a,reactions,0
114,CamR_Ca2_AC_CaMKIIp_PP1a,reactions,0
115,CamR_Ca2_AD_CaMKIIp_PP1a,reactions,0
116,CamR_Ca2_BC_CaMKIIp_PP1a,reactions,0
117,CamR_Ca2_BD_CaMKIIp_PP1a,reactions,0
118,CamR_Ca2_CD_CaMKIIp_PP1a,reactions,0
119,CamR_Ca3_ABC_CaMKIIp_PP1a,reactions,0
120,CamR_Ca3_ABD_CaMKIIp_PP1a,reactions,0
121,CamR_Ca3_ACD_CaMKIIp_PP1a,reactions,0
122,CamR_Ca3_BCD_CaMKIIp_PP1a,reactions,0
123,CamR_Ca4_ABCD_CaMKIIp_PP1a,reactions,0
124,AMPAR_P,reactions,1.66E-07
125,AMPAR,reactions,1.49E-06
126,PP2Bi,reactions,6.00E-06
127,PP2Bi_Ca1,reactions,0
128,PP2Bi_Ca2,reactions,0
129,PP2Bi_Ca3,reactions,0
